Marketing	Prijmy	Vydaje	Sucho	Dest
0	5780764700.00	7038112500.00	2.50	7.50
10	5801496400.00	7068115500.00	2.47	7.42
20	5798374800.00	7098118500.00	2.45	7.34
30	5847496700.00	7128121500.00	2.42	7.27
40	5910895400.00	7158124500.00	2.40	7.19
50	5700854100.00	7188127500.00	2.37	7.11
60	5742606300.00	7218130500.00	2.35	7.04
70	5945290900.00	7248133500.00	2.32	6.96
80	5949202200.00	7278136500.00	2.30	6.89
90	5941709700.00	7308139500.00	2.27	6.82
100	5898202200.00	7338142500.00	2.25	6.75
110	5864411000.00	7368145500.00	2.23	6.68
120	5979938600.00	7398148500.00	2.20	6.61
130	6014620900.00	7428151500.00	2.18	6.54
140	5900421500.00	7458154500.00	2.16	6.47
150	5958642100.00	7488157500.00	2.13	6.40
160	5930526700.00	7518160500.00	2.11	6.33
170	5874382200.00	7548163500.00	2.09	6.27
180	5967899200.00	7578166500.00	2.07	6.20
190	5926263700.00	7608169500.00	2.05	6.14
200	6023317300.00	7638172500.00	2.02	6.07
210	5887130200.00	7668175500.00	2.00	6.01
220	8305774300.00	7698178500.00	1.98	5.94
230	8360083200.00	7728181500.00	1.96	5.88
240	8193405700.00	7758184500.00	1.94	5.82
250	8420441900.00	7788187500.00	1.92	5.76
260	8296049400.00	7818190500.00	1.90	5.70
270	8368541000.00	7848193500.00	1.88	5.64
280	8301831700.00	7878196500.00	1.86	5.58
290	8464993400.00	7908199500.00	1.84	5.52
300	8342406200.00	7938202500.00	1.82	5.46
310	8298572200.00	7968205500.00	1.80	5.40
320	8411617000.00	7998208500.00	1.78	5.35
330	8357618300.00	8028211500.00	1.76	5.29
340	8486074100.00	8058214500.00	1.75	5.24
350	8365218500.00	8088217500.00	1.73	5.18
360	8307050100.00	8118220500.00	1.71	5.13
370	8323961100.00	8148223500.00	1.69	5.07
380	8460375700.00	8178226500.00	1.67	5.02
390	8528352800.00	8208229500.00	1.66	4.97
400	8470178100.00	8238232500.00	1.64	4.91
410	8622006200.00	8268235500.00	1.62	4.86
420	8533546500.00	8298238500.00	1.60	4.81
430	8708852800.00	8328241500.00	1.59	4.76
440	8563097600.00	8358244500.00	1.57	4.71
450	8553053000.00	8388247500.00	1.55	4.66
460	8548645000.00	8418250500.00	1.54	4.61
470	8392763100.00	8448253500.00	1.52	4.56
480	8502618400.00	8478256500.00	1.51	4.52
490	8557277300.00	8508259500.00	1.49	4.47
500	8546736500.00	8538262500.00	1.47	4.42
510	8586293100.00	8568265500.00	1.46	4.37
520	8457719300.00	8598268500.00	1.44	4.33
530	8510603000.00	8628271500.00	1.43	4.28
540	8466416100.00	8658274500.00	1.41	4.24
550	8590018800.00	8688277500.00	1.40	4.19
560	8484816700.00	8718280500.00	1.38	4.15
570	8523620700.00	8748283500.00	1.37	4.11
580	8607166100.00	8778286500.00	1.35	4.06
590	8603361600.00	8808289500.00	1.34	4.02
600	8942844200.00	8838292500.00	1.33	3.98
610	8981097000.00	8868295500.00	1.31	3.94
620	8872272800.00	8898298500.00	1.30	3.89
630	8891193900.00	8928301500.00	1.28	3.85
640	8967870800.00	8958304500.00	1.27	3.81
650	8809888400.00	8988307500.00	1.26	3.77
660	8873831500.00	9018310500.00	1.24	3.73
670	8913311000.00	9048313500.00	1.23	3.69
680	8963650000.00	9078316500.00	1.22	3.65
690	8930814900.00	9108319500.00	1.21	3.62
700	8909965000.00	9138322500.00	1.19	3.58
710	8876725400.00	9168325500.00	1.18	3.54
720	8848356400.00	9198328500.00	1.17	3.50
730	8931495500.00	9228331500.00	1.16	3.47
740	8937485800.00	9258334500.00	1.14	3.43
750	8887069500.00	9288337500.00	1.13	3.39
760	8985216500.00	9318340500.00	1.12	3.36
770	9038097300.00	9348343500.00	1.11	3.32
780	8933139900.00	9378346500.00	1.10	3.29
790	8877173900.00	9408349500.00	1.08	3.25
800	8918073100.00	9438352500.00	1.07	3.22
810	8980919500.00	9468355500.00	1.06	3.19
820	8880083300.00	9498358500.00	1.05	3.15
830	8940004600.00	9528361500.00	1.04	3.12
840	8971919100.00	9558364500.00	1.03	3.09
850	8902577800.00	9588367500.00	1.02	3.05
860	8870487600.00	9618370500.00	1.01	3.02
870	9327283100.00	9648373500.00	1.00	2.99
880	9392034800.00	9678376500.00	1.00	2.96
890	9325807800.00	9708379500.00	1.00	2.93
900	9369004900.00	9738382500.00	1.00	2.90
910	9272323200.00	9768385500.00	1.00	2.87
920	9344978800.00	9798388500.00	1.00	2.84
930	9267493100.00	9828391500.00	1.00	2.81
940	9291029500.00	9858394500.00	1.00	2.78
950	9414563800.00	9888397500.00	1.00	2.75
960	9315695000.00	9918400500.00	1.00	2.72
970	9364766100.00	9948403500.00	1.00	2.69
980	9299815900.00	9978406500.00	1.00	2.66
990	9251134900.00	10008409500.00	1.00	2.63
1000	9203512600.00	10038412500.00	1.00	2.61
