1: U 1: started
2: U 1: taking break
3: U 1: break finished
4: U 1: taking break
5: U 1: break finished
6: U 1: taking break
7: U 1: break finished
8: U 1: taking break
9: U 1: break finished
10: U 1: taking break
11: U 1: break finished
12: U 1: taking break
13: U 1: break finished
14: U 1: taking break
15: U 1: break finished
16: U 1: taking break
17: U 1: break finished
18: U 1: taking break
19: U 1: break finished
20: U 1: taking break
21: U 1: break finished
22: U 1: taking break
23: U 1: break finished
24: U 1: taking break
25: U 1: break finished
26: U 1: taking break
27: U 1: break finished
28: U 1: taking break
29: U 1: break finished
30: U 1: taking break
31: U 1: break finished
32: U 1: taking break
33: U 1: break finished
34: U 1: taking break
35: closing
36: U 1: break finished
37: U 1: going home
